ProductID,ProductName,ShadowOf,ProductType,AggregateQty,SitePrice,AverageCost,QtySold30,QtySold60,QtySold90,QtySoldYTD,LocationNotes,PURCHASEGROUP,DEPARTMENT,BASEITEM,DEPOP,BUILDITEM,BRAND,MODELNUMBER,IDENTIFIER,ItemNotes,PORTS,PARTS,BOXNOTES,BUILDERRAM,CACHE,INTERFACE,TRANSFERRATE,MEMORYSIZE,CPUBRAND,SOCKET,MAXCPUS,RAMRANK,DIMMSLOTS,DIMMSPERCHANNEL,VARIATIONS,PRICINGNOTES,CORES,FORM,FSB,HYPERTHREADING,INTRAY,MEMORYCHANNELS,MICROCENTERSKU,ONBOARDGPU,SCREENSIZE,PURCHASINGNOTES,RAMTYPE,RANK,REFRESHRATE,SCALABILITY,SCRAPVALUE,WATTS,DESTINATION,SPEED,InventoryLowStockNotice,InventoryHighStockNotice,OnOrder
CTK 309346944,JATON GEFORCE GT 610 VIDEO-PX610GT-EX DVI HDMI VGA 2GB GRAPHIC CARD,,Graphics Card,0,40,0,0,0,0,0,,GT 610,Card,TRUE,FALSE,FALSE,JATON,GEFORCE GT 610,VIDEO-PX610GT-EX,,,,,,,,,2GB,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
CTK 309357544,EVGA GEFORCE 7600GS 256-P2-N549-TR DVI VGA S-VIDEO 256MB GRAPHIC CARD,,Graphics Card,0,30,0,0,0,0,0,,GEFORCE 7600GS,Card,TRUE,FALSE,FALSE,EVGA,GEFORCE 7600GS,256-P2-N549-TR,,,,,,,,,256MB,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
CTK 309367844,EVGA GEFORCE GTX 760 SC 02G-P4-2765-KR DUAL DVI HSMI DISPLAY PORT 2GB GRAPHIC CARD,,Graphics Card,0,80,0,0,0,0,0,CP-02-02,GTX 760,Card,TRUE,FALSE,FALSE,EVGA,GEFORCE GTX 760 SC,02G-P4-2765-KR,,,,,,,,,2GB,,,,,,,,,,,,,,,,,,,,,,,,,,,0,99999,0
CTK 309378144,PNY GEFORCE GTX 960 VCGGTX9602XPB DVI X3 DISPLAY PORT HDMI 2GB GRAPHIC CARD,,Graphics Card,0,99.99,35,0,0,0,0,,GTX 960,Card,TRUE,FALSE,FALSE,PNY,GEFORCE GTX 960,VCGGTX9602XPB,,,,,,,,,2GB,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
CTK 309388644,ASUS GEFORCE GTX 760 GTX760-DC2OC-2GD5 DUAL DVI HSMI DISPLAY PORT 2GB GRAPHIC CARD,,Graphics Card,0,90,0,0,0,0,1,CP-04-10,GTX 760,Card,TRUE,FALSE,FALSE,ASUS,,GTX760-DC2OC-2GD5,,,,,,,,,2GB,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
CTK 309399544,IBM QUADRO FX 3800 89Y0429 DVI DUAL DISPLAY PORT 1GB 10 GRAPHIC CARD,,Graphics Card,0,50,9.76,0,0,0,0,BUILD BOX 23(0),FX3800,Card,TRUE,FALSE,FALSE,IBM,,89Y0429,,,,,,,,,1GB,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
CTK 309428344,DELL QUADRO K620 JGN28 LOW PROFILE DVI DISPLAY PORT 2GB GDDR3 BUILDS 20 GRAPHIC CARD,,Graphics Card,0,80,35,0,0,0,8,CP-02-13,K620,Card,TRUE,FALSE,FALSE,DELL,,JGN28,,,,,,,,,2GB GDDR3,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
CTK 309456644,HP 552M FLEX10 675484-001 10GBPS PCI/NIC CARD,,NIC Card,0,84.99,0,0,0,0,0,CP-02-13(1),552M,Card,TRUE,FALSE,FALSE,HP,,675484-001,,,,,,,,10GBPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
CTK 309466444,FUJITSU D2755-A11 LOW PROFILE 2 OF 2 SFP'S 10GBPS PCI/NIC CARD,,NIC Card,0,50,0,0,0,0,0,,755,Card,TRUE,FALSE,FALSE,FUJITSU,,D2755-A11,,,,,,,,10GBPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
CTK 309477844,QLOGIC QLE2562-F LOW PROFILE 2 OF 2 SFP'S 2 OF 2 SFP'S 8GBPS PCI/NIC CARD,,NIC Card,0,30,0,0,0,0,0,,QLE2562,Card,TRUE,FALSE,FALSE,QLOGIC,,QLE2562-F,,2 OF 2 SFP'S,,,,,,8GBPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
